StationId_encoded,StationId_encoded_AQI_mean,StationId_encoded_AQI_std,StationId_encoded_AQI_median,StationId_encoded_AQI_q25,StationId_encoded_AQI_q75
0,81.30447,64.05479,67.0,41.0,110.0
1,89.8969,71.168686,93.0,40.0,121.0
2,137.1853,116.39113,94.0,50.0,208.0
3,72.315575,86.72164,50.0,0.0,108.0
4,108.87915,113.65029,92.0,54.0,137.0
5,169.40805,155.77567,132.0,0.0,314.0
6,119.50099,66.80811,113.0,73.0,151.0
7,129.90205,73.33205,116.0,79.0,167.0
8,197.22188,83.26859,204.0,153.0,246.0
9,94.49608,59.875866,82.0,57.0,108.0
10,210.68657,129.23817,182.0,104.0,316.0
11,279.97955,215.88814,275.0,108.0,434.0
12,235.71925,134.57451,218.0,119.0,329.0
13,177.11208,119.85394,141.0,100.0,265.0
14,249.02573,139.34708,231.0,128.0,341.0
15,184.92732,144.24854,165.0,76.0,304.0
16,143.24026,154.41978,105.0,0.0,282.0
17,114.1001,160.21582,0.0,0.0,210.0
18,200.81505,113.34215,179.0,114.0,276.0
19,258.70374,137.26869,238.0,149.0,338.0
20,0.0,0.0,0.0,0.0,0.0
21,187.77086,125.40085,157.0,101.0,286.0
22,135.51091,142.36377,92.0,0.0,267.0
23,99.798935,138.19162,0.0,0.0,185.0
24,257.80124,144.70232,252.0,128.0,348.0
25,214.323,125.245636,187.0,114.0,308.0
26,177.38971,122.82896,148.0,96.0,271.0
27,206.99257,119.45581,183.0,111.0,303.0
28,153.28448,142.73782,125.0,0.0,262.0
29,261.83264,162.03285,240.0,127.0,359.0
30,184.436,145.85567,181.0,0.0,313.0
31,195.40494,110.85789,183.0,109.0,283.0
32,227.65535,128.8009,210.0,120.25,324.0
33,234.95255,139.12196,206.0,121.0,328.0
34,201.25157,153.57481,167.0,90.0,314.0
35,213.64655,129.44678,182.0,112.0,308.0
36,199.37859,124.207954,169.0,100.0,301.0
37,217.276,161.11577,272.0,0.0,335.0
38,200.46945,128.56502,169.0,105.0,312.0
39,163.25954,122.901695,130.0,86.0,234.0
40,210.65137,148.81853,190.0,101.0,320.0
41,248.38535,147.40955,232.0,121.0,343.0
42,121.011826,148.53867,60.0,0.0,246.25
43,220.18492,158.5877,209.0,103.0,325.0
44,220.21321,126.851036,196.0,116.0,313.0
45,194.56024,113.659935,175.0,99.0,279.0
46,227.78963,132.86017,198.0,121.0,317.0
47,266.71246,150.97133,243.0,145.0,350.0
48,291.0025,427.2946,188.0,0.0,374.0
49,167.71312,136.08368,145.0,61.0,288.0
50,153.29002,55.8634,144.0,114.0,185.0
51,110.20128,40.122395,111.0,88.0,134.0
52,167.32175,144.49266,140.0,38.0,301.0
53,99.504974,103.47194,101.0,0.0,147.0
54,81.49721,58.07926,70.0,49.0,104.0
55,74.65042,85.115,59.0,8.0,100.0
56,85.94076,54.25972,80.0,53.0,109.0
57,68.377655,59.01235,86.0,0.0,112.0
58,67.60644,43.23084,64.0,40.0,96.0
59,74.09211,46.869446,72.0,44.0,101.0
60,74.88919,51.622295,74.0,42.0,109.0
61,70.860245,75.87388,62.0,25.0,89.0
62,40.8926,42.30576,42.0,0.0,64.0
63,85.299934,43.48084,89.0,60.0,111.0
64,80.76194,36.719986,90.0,69.0,103.0
65,101.01765,39.77248,99.0,81.0,118.0
66,57.993977,31.208046,61.0,43.0,76.0
67,69.63705,36.981487,65.0,51.0,88.0
68,34.550465,54.277664,0.0,0.0,79.0
69,52.350094,44.720364,46.0,16.0,85.0
70,116.078636,67.29248,95.0,72.0,156.0
71,89.59233,71.40598,60.0,37.0,131.0
72,124.86723,59.5816,120.0,82.0,155.0
73,81.00881,55.34513,64.0,37.0,114.0
74,113.29839,72.5652,92.0,54.0,163.0
75,77.33118,74.73305,64.0,0.0,110.0
76,78.01419,74.71381,54.0,26.0,120.0
77,95.17969,70.34825,68.0,47.0,128.5
78,34.962982,35.86122,32.0,0.0,57.0
79,127.3003,63.217953,118.0,95.0,151.0
80,33.527985,21.472013,22.0,19.0,49.0
81,108.14643,91.70648,105.0,0.0,154.0
82,120.245834,121.48138,104.0,0.0,174.0
83,106.41368,84.63369,95.0,60.0,131.0
84,120.06599,50.09352,115.0,89.0,142.0
85,132.67863,83.6412,119.0,87.0,172.0
86,131.26689,73.078835,115.0,90.0,151.0
87,70.755295,51.089394,80.0,0.0,113.0
88,85.36906,52.955395,84.0,51.0,116.0
89,87.10136,45.626026,84.0,52.0,120.0
90,89.449814,46.2407,93.0,58.0,122.0
91,76.52427,91.124504,60.0,0.0,111.0
92,66.25912,59.179623,73.0,0.0,114.0
93,93.214,83.93237,82.0,47.0,115.0
94,84.4763,67.39825,77.0,41.0,121.0
95,87.303825,85.3449,78.0,0.0,121.0
96,65.072685,77.09121,57.0,0.0,88.0
97,59.945713,33.082783,69.0,46.0,84.0
98,159.13324,136.06355,107.0,54.0,292.0
99,127.223595,112.57468,83.0,54.0,177.0
100,183.24963,146.69617,147.0,66.0,321.0
101,158.02805,142.68085,117.0,0.0,306.0
102,243.50018,131.7966,274.0,113.0,346.0
103,136.46072,101.5655,104.0,49.0,219.0
104,102.627304,73.56919,83.0,42.0,152.0
105,120.34426,94.500114,80.0,49.0,181.0
106,92.63752,72.43015,65.0,36.0,140.0
107,159.01494,132.3522,107.0,60.0,279.0
108,99.00569,72.95003,78.0,40.0,146.0
109,124.39855,104.22269,80.0,53.0,191.0
