StationId,StationName,City,State,Status,lat,lon
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,16.5731,80.3642
AP002,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,Unknown,17.0005,81.804
AP003,"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,Unknown,13.6288,79.4192
AP004,"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,Unknown,16.5062,80.648
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,Active,17.6868,83.2185
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,Active,26.1445,91.7362
BR005,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,Active,25.5941,85.1376
BR006,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,Active,25.5941,85.1376
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,Active,25.5941,85.1376
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,Active,25.5941,85.1376
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,Active,25.5941,85.1376
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,Active,25.5941,85.1376
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,Active,30.7333,76.7794
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,Active,28.6139,77.209
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,Inactive,28.6139,77.209
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,Active,28.6139,77.209
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,Active,28.6139,77.209
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,Active,28.6139,77.209
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,Active,28.6139,77.209
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,Active,28.6139,77.209
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,Active,28.6139,77.209
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,Active,28.6139,77.209
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,Active,28.6139,77.209
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,Active,28.6139,77.209
